route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
66503,1,44087163,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087125,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905695,918159,1,1
66503,1,44087057,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087056,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087055,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087054,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905694,918159,1,1
66503,1,44087053,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087119,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087120,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905696,918159,1,1
66503,1,44087121,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087122,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087123,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905695,918159,1,1
66503,1,44087179,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087178,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087068,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087146,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087145,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087144,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087059,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087060,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087061,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087167,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087183,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087062,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087134,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087091,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087176,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087155,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087154,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087111,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087112,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087113,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087095,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087143,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087142,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087069,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087070,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087151,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087180,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087181,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087133,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087132,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087140,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087127,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087126,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087052,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087040,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087041,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087042,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087092,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087088,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087152,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087115,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087116,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087117,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087118,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
66503,1,44087138,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905692,918159,1,1
66503,1,44087089,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905693,918159,1,1
66503,1,44087114,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905690,918159,1,1
66503,1,44087174,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905691,918159,1,1
66503,1,44087175,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905687,918159,1,1
66503,1,44087105,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905688,918159,1,1
66503,1,44087102,SOUTH - 100A FLEMINGDON PARK towards BROADVIEW STATION,,0,1905689,918159,1,1
